VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,trip_duration,trip_duration_minutes,time_category,Shape_Leng,Shape_Area,zone,LocationID,borough,lat,lng
2,2022-02-10 12:10:21,2022-02-10 12:26:48,N,1.0,244,238,1.0,3.69,14.5,0.0,0.5,3.61,0.0,,0.3,21.66,1.0,1.0,2.75,0 days 00:16:27,16.45,afternoon,0.0805686044599,0.000359702747951,Washington Heights South,244,Manhattan,40.84121866986656,-73.94166681405747
2,2022-02-01 14:34:30,2022-02-01 14:53:19,N,1.0,166,143,1.0,2.76,13.5,0.0,0.5,3.41,0.0,,0.3,20.46,1.0,1.0,2.75,0 days 00:18:49,18.816666666666666,afternoon,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
2,2022-02-10 10:49:06,2022-02-10 11:02:21,N,1.0,166,43,1.0,1.5,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2.0,1.0,0.0,0 days 00:13:15,13.25,morning,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
2,2022-02-17 19:18:04,2022-02-17 19:39:32,N,1.0,159,126,1.0,4.69,17.5,1.0,0.5,0.0,0.0,,0.3,19.3,2.0,1.0,0.0,0 days 00:21:28,21.466666666666665,evening,0.064363233206,0.00017124910387,Melrose South,159,Bronx,40.818259460507406,-73.91358298976442
2,2022-02-17 15:47:09,2022-02-17 16:23:57,N,1.0,74,200,1.0,8.94,32.0,1.0,0.5,0.0,3.0,,0.3,36.8,2.0,1.0,0.0,0 days 00:36:48,36.8,afternoon,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
2,2022-02-16 07:17:45,2022-02-16 07:39:42,N,1.0,74,244,1.0,3.33,15.5,0.0,0.5,0.0,0.0,,0.3,16.3,2.0,1.0,0.0,0 days 00:21:57,21.95,morning,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
2,2022-02-18 19:16:07,2022-02-18 19:23:40,N,1.0,166,41,1.0,1.45,7.0,1.0,0.5,1.76,0.0,,0.3,10.56,1.0,1.0,0.0,0 days 00:07:33,7.55,evening,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
2,2022-02-08 07:20:04,2022-02-08 07:30:46,N,1.0,74,168,1.0,1.73,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0,0 days 00:10:42,10.7,morning,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
2,2022-02-06 12:17:43,2022-02-06 12:29:55,N,1.0,97,61,1.0,2.41,10.5,0.0,0.5,2.26,0.0,,0.3,13.56,1.0,1.0,0.0,0 days 00:12:12,12.2,afternoon,0.0624760147423,0.000163303970435,Fort Greene,97,Brooklyn,40.690615655694266,-73.975576580035
2,2022-02-19 14:32:13,2022-02-19 14:50:43,N,1.0,74,244,1.0,3.38,14.5,0.0,0.5,3.82,0.0,,0.3,19.12,1.0,1.0,0.0,0 days 00:18:30,18.5,afternoon,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
